# xp i yp j p u v ts tf
   0.11787  11    0.04734   9   1.013E+05  2.335E-09  3.083E-03  2.930E+02  1.990E+03
   0.11787  11    0.05366  10   1.013E+05  1.564E-09  3.263E-03  2.930E+02  2.059E+03
   0.11787  11    0.05997  11   1.013E+05  7.176E-10  3.373E-03  2.930E+02  2.105E+03
   0.11787  11    0.06628  12   1.013E+05 -2.305E-10  3.402E-03  2.931E+02  2.133E+03
   0.11787  11    0.07259  13   1.013E+05 -1.333E-09  3.355E-03  2.934E+02  2.149E+03
   0.11787  11    0.07891  14   1.013E+05 -2.723E-09  3.187E-03  2.950E+02  2.158E+03
   0.11787  11    0.08522  15   1.013E+05 -3.948E-09  2.683E-03  3.026E+02  2.163E+03
   0.11787  11    0.09153  16   1.013E+05 -6.271E-09  2.661E-03  3.308E+02  2.166E+03
   0.11787  11    0.09784  17   1.013E+05 -6.750E-09  8.981E-05  3.026E+02  1.576E+03
   0.11787  11    0.10416  18   1.013E+05 -4.599E-09 -1.708E-04  2.950E+02  1.366E+03
   0.11787  11    0.11047  19   1.013E+05 -3.167E-09 -2.657E-04  2.934E+02  1.281E+03
   0.11787  11    0.11678  20   1.013E+05 -2.050E-09 -2.435E-04  2.931E+02  1.243E+03
   0.11787  11    0.12309  21   1.013E+05 -1.280E-09 -2.096E-04  2.930E+02  1.223E+03
   0.11787  11    0.12941  22   1.013E+05 -7.164E-10 -1.668E-04  2.930E+02  1.211E+03
   0.11787  11    0.13572  23   1.013E+05 -3.073E-10 -1.030E-04  2.930E+02  1.204E+03
   0.11787  11    0.14203  24   1.013E+05 -1.541E-11 -4.015E-05  2.930E+02  1.198E+03
   0.11787  11    0.14834  25   1.013E+05  2.132E-10  1.766E-05  2.930E+02  1.194E+03
   0.11787  11    0.15466  26   1.013E+05  3.981E-10  8.789E-05  2.930E+02  1.191E+03
   0.11787  11    0.16097  27   1.013E+05  5.375E-10  1.664E-04  2.930E+02  1.187E+03
   0.11787  11    0.16728  28   1.013E+05  6.394E-10  2.458E-04  2.930E+02  1.184E+03
   0.11787  11    0.17359  29   1.013E+05  7.187E-10  3.247E-04  2.930E+02  1.181E+03
   0.11787  11    0.17991  30   1.013E+05  7.865E-10  4.059E-04  2.930E+02  1.177E+03
   0.11787  11    0.18622  31   1.013E+05  8.409E-10  4.981E-04  2.930E+02  1.173E+03
   0.11787  11    0.19253  32   1.013E+05  8.594E-10  6.066E-04  2.930E+02  1.169E+03
   0.11787  11    0.19884  33   1.013E+05  8.214E-10  7.128E-04  2.930E+02  1.163E+03
   0.11787  11    0.20516  34   1.013E+05  7.541E-10  7.948E-04  2.930E+02  1.156E+03
   0.11787  11    0.21147  35   1.013E+05  6.733E-10  8.729E-04  2.930E+02  1.148E+03
   0.11787  11    0.21778  36   1.013E+05  5.605E-10  9.460E-04  2.930E+02  1.137E+03
   0.11787  11    0.22409  37   1.013E+05  4.300E-10  9.919E-04  2.930E+02  1.125E+03
   0.11787  11    0.23041  38   1.013E+05  2.991E-10  1.027E-03  2.930E+02  1.110E+03
   0.11787  11    0.23672  39   1.013E+05  1.581E-10  1.053E-03  2.930E+02  1.092E+03
   0.11787  11    0.24303  40   1.013E+05  1.683E-11  1.055E-03  2.930E+02  1.071E+03
   0.11787  11    0.24934  41   1.013E+05 -1.115E-10  1.046E-03  2.930E+02  1.047E+03
   0.11787  11    0.25566  42   1.013E+05 -2.320E-10  1.027E-03  2.930E+02  1.021E+03
   0.11787  11    0.26197  43   1.013E+05 -3.393E-10  9.949E-04  2.930E+02  9.914E+02
   0.11787  11    0.26828  44   1.013E+05 -4.298E-10  9.516E-04  2.930E+02  9.596E+02
   0.11787  11    0.27459  45   1.013E+05 -4.970E-10  8.982E-04  2.930E+02  9.257E+02
   0.11787  11    0.28091  46   1.013E+05 -5.433E-10  8.443E-04  2.930E+02  8.903E+02
   0.11787  11    0.28722  47   1.013E+05 -5.796E-10  7.918E-04  2.930E+02  8.538E+02
   0.11787  11    0.29353  48   1.013E+05 -6.062E-10  7.290E-04  2.930E+02  8.167E+02
   0.11787  11    0.29984  49   1.013E+05 -6.025E-10  6.610E-04  2.930E+02  7.795E+02
   0.11787  11    0.30616  50   1.013E+05 -5.845E-10  6.090E-04  2.930E+02  7.429E+02
   0.11787  11    0.31247  51   1.013E+05 -5.735E-10  5.602E-04  2.930E+02  7.072E+02
   0.11787  11    0.31878  52   1.013E+05 -5.520E-10  5.004E-04  2.930E+02  6.726E+02
   0.11787  11    0.32509  53   1.013E+05 -5.119E-10  4.498E-04  2.930E+02  6.395E+02
   0.11787  11    0.33141  54   1.013E+05 -4.751E-10  4.135E-04  2.930E+02  6.083E+02
   0.11787  11    0.33772  55   1.013E+05 -4.546E-10  3.794E-04  2.930E+02  5.789E+02
   0.11787  11    0.34403  56   1.013E+05 -4.370E-10  3.359E-04  2.930E+02  5.514E+02
   0.11787  11    0.35034  57   1.013E+05 -3.975E-10  2.865E-04  2.930E+02  5.259E+02
   0.11787  11    0.35666  58   1.013E+05 -3.422E-10  2.552E-04  2.930E+02  5.023E+02
   0.11787  11    0.36297  59   1.013E+05 -3.074E-10  2.420E-04  2.930E+02  4.809E+02
   0.11787  11    0.36928  60   1.013E+05 -2.981E-10  2.215E-04  2.930E+02  4.612E+02
   0.11787  11    0.37559  61   1.013E+05 -2.871E-10  1.895E-04  2.930E+02  4.434E+02
   0.11787  11    0.38191  62   1.013E+05 -2.586E-10  1.570E-04  2.930E+02  4.272E+02
   0.11787  11    0.38822  63   1.013E+05 -2.159E-10  1.331E-04  2.930E+02  4.126E+02
   0.11787  11    0.39453  64   1.013E+05 -1.790E-10  1.240E-04  2.930E+02  3.995E+02
   0.11787  11    0.40084  65   1.013E+05 -1.623E-10  1.179E-04  2.930E+02  3.878E+02
   0.11787  11    0.40716  66   1.013E+05 -1.529E-10  1.026E-04  2.930E+02  3.773E+02
   0.11787  11    0.41347  67   1.013E+05 -1.342E-10  8.445E-05  2.930E+02  3.680E+02
   0.11787  11    0.41978  68   1.013E+05 -1.073E-10  7.445E-05  2.930E+02  3.597E+02
   0.11787  11    0.42609  69   1.013E+05 -9.171E-11  7.280E-05  2.930E+02  3.524E+02
   0.11787  11    0.43241  70   1.013E+05 -8.440E-11  6.535E-05  2.930E+02  3.460E+02
   0.11787  11    0.43872  71   1.013E+05 -7.723E-11  6.024E-05  2.930E+02  3.404E+02
   0.11787  11    0.44503  72   1.013E+05 -8.122E-11  5.849E-05  2.930E+02  3.355E+02
   0.11787  11    0.45134  73   1.013E+05 -8.333E-11  4.483E-05  2.930E+02  3.312E+02
   0.11787  11    0.45766  74   1.013E+05 -7.197E-11  3.353E-05  2.930E+02  3.276E+02
   0.11787  11    0.46397  75   1.013E+05 -5.508E-11  2.854E-05  2.930E+02  3.245E+02
   0.11787  11    0.47028  76   1.013E+05 -4.078E-11  2.857E-05  2.930E+02  3.220E+02
   0.11787  11    0.47659  77   1.013E+05 -4.107E-11  3.692E-05  2.930E+02  3.199E+02
   0.11787  11    0.48291  78   1.013E+05 -5.707E-11  3.455E-05  2.930E+02  3.183E+02
   0.11787  11    0.48922  79   1.013E+05 -5.562E-11  1.897E-05  2.930E+02  3.171E+02
   0.11787  11    0.49553  80   1.013E+05 -5.218E-11  2.380E-05  2.930E+02  3.163E+02
   0.11787  11    0.50184  81   1.013E+05 -5.410E-11  6.401E-11  2.930E+02  3.159E+02
   0.11787  11    0.50500  82   1.013E+05  0.000E+00  6.401E-11  2.930E+02  3.159E+02
   0.12407  12    0.00000   1   1.013E+05  0.000E+00  0.000E+00  2.930E+02  2.930E+02
   0.12407  12    0.00316   2   1.013E+05  5.242E-09  8.940E-05  2.930E+02  4.570E+02
   0.12407  12    0.00947   3   1.013E+05  5.299E-09  7.452E-04  2.930E+02  7.769E+02
   0.12407  12    0.01578   4   1.013E+05  4.992E-09  1.241E-03  2.930E+02  1.076E+03
   0.12407  12    0.02209   5   1.013E+05  4.645E-09  1.690E-03  2.930E+02  1.343E+03
   0.12407  12    0.02841   6   1.013E+05  4.204E-09  2.119E-03  2.930E+02  1.568E+03
   0.12407  12    0.03472   7   1.013E+05  3.667E-09  2.503E-03  2.930E+02  1.750E+03
   0.12407  12    0.04103   8   1.013E+05  3.039E-09  2.826E-03  2.930E+02  1.889E+03
   0.12407  12    0.04734   9   1.013E+05  2.335E-09  3.083E-03  2.930E+02  1.990E+03
   0.12407  12    0.05366  10   1.013E+05  1.564E-09  3.263E-03  2.930E+02  2.059E+03
   0.12407  12    0.05997  11   1.013E+05  7.176E-10  3.373E-03  2.930E+02  2.105E+03
   0.12407  12    0.06628  12   1.013E+05 -2.305E-10  3.402E-03  2.931E+02  2.133E+03
   0.12407  12    0.07259  13   1.013E+05 -1.333E-09  3.355E-03  2.934E+02  2.149E+03
   0.12407  12    0.07891  14   1.013E+05 -2.723E-09  3.187E-03  2.950E+02  2.158E+03
   0.12407  12    0.08522  15   1.013E+05 -3.948E-09  2.683E-03  3.026E+02  2.163E+03
   0.12407  12    0.09153  16   1.013E+05 -6.271E-09  2.661E-03  3.308E+02  2.166E+03
   0.12407  12    0.09784  17   1.013E+05 -6.750E-09  8.981E-05  3.026E+02  1.576E+03
   0.12407  12    0.10416  18   1.013E+05 -4.599E-09 -1.708E-04  2.950E+02  1.366E+03
   0.12407  12    0.11047  19   1.013E+05 -3.167E-09 -2.657E-04  2.934E+02  1.281E+03
   0.12407  12    0.11678  20   1.013E+05 -2.050E-09 -2.435E-04  2.931E+02  1.243E+03
   0.12407  12    0.12309  21   1.013E+05 -1.280E-09 -2.096E-04  2.930E+02  1.223E+03
   0.12407  12    0.12941  22   1.013E+05 -7.164E-10 -1.668E-04  2.930E+02  1.211E+03
   0.12407  12    0.13572  23   1.013E+05 -3.073E-10 -1.030E-04  2.930E+02  1.204E+03
   0.12407  12    0.14203  24   1.013E+05 -1.541E-11 -4.015E-05  2.930E+02  1.198E+03
   0.12407  12    0.14834  25   1.013E+05  2.132E-10  1.766E-05  2.930E+02  1.194E+03
   0.12407  12    0.15466  26   1.013E+05  3.981E-10  8.789E-05  2.930E+02  1.191E+03
   0.12407  12    0.16097  27   1.013E+05  5.375E-10  1.664E-04  2.930E+02  1.187E+03
   0.12407  12    0.16728  28   1.013E+05  6.394E-10  2.458E-04  2.930E+02  1.184E+03
   0.12407  12    0.17359  29   1.013E+05  7.187E-10  3.247E-04  2.930E+02  1.181E+03
   0.12407  12    0.17991  30   1.013E+05  7.865E-10  4.059E-04  2.930E+02  1.177E+03
   0.12407  12    0.18622  31   1.013E+05  8.409E-10  4.981E-04  2.930E+02  1.173E+03
   0.12407  12    0.19253  32   1.013E+05  8.594E-10  6.066E-04  2.930E+02  1.169E+03
   0.12407  12    0.19884  33   1.013E+05  8.214E-10  7.128E-04  2.930E+02  1.163E+03
   0.12407  12    0.20516  34   1.013E+05  7.541E-10  7.948E-04  2.930E+02  1.156E+03
   0.12407  12    0.21147  35   1.013E+05  6.733E-10  8.729E-04  2.930E+02  1.148E+03
   0.12407  12    0.21778  36   1.013E+05  5.605E-10  9.460E-04  2.930E+02  1.137E+03
   0.12407  12    0.22409  37   1.013E+05  4.300E-10  9.919E-04  2.930E+02  1.125E+03
   0.12407  12    0.23041  38   1.013E+05  2.991E-10  1.027E-03  2.930E+02  1.110E+03
   0.12407  12    0.23672  39   1.013E+05  1.581E-10  1.053E-03  2.930E+02  1.092E+03
   0.12407  12    0.24303  40   1.013E+05  1.683E-11  1.055E-03  2.930E+02  1.071E+03
   0.12407  12    0.24934  41   1.013E+05 -1.115E-10  1.046E-03  2.930E+02  1.047E+03
   0.12407  12    0.25566  42   1.013E+05 -2.320E-10  1.027E-03  2.930E+02  1.021E+03
   0.12407  12    0.26197  43   1.013E+05 -3.393E-10  9.949E-04  2.930E+02  9.914E+02
   0.12407  12    0.26828  44   1.013E+05 -4.298E-10  9.516E-04  2.930E+02  9.596E+02
   0.12407  12    0.27459  45   1.013E+05 -4.970E-10  8.982E-04  2.930E+02  9.257E+02
   0.12407  12    0.28091  46   1.013E+05 -5.433E-10  8.443E-04  2.930E+02  8.903E+02
   0.12407  12    0.28722  47   1.013E+05 -5.796E-10  7.918E-04  2.930E+02  8.538E+02
   0.12407  12    0.29353  48   1.013E+05 -6.062E-10  7.290E-04  2.930E+02  8.167E+02
   0.12407  12    0.29984  49   1.013E+05 -6.025E-10  6.610E-04  2.930E+02  7.795E+02
   0.12407  12    0.30616  50   1.013E+05 -5.845E-10  6.090E-04  2.930E+02  7.429E+02
   0.12407  12    0.31247  51   1.013E+05 -5.735E-10  5.602E-04  2.930E+02  7.072E+02
   0.12407  12    0.31878  52   1.013E+05 -5.520E-10  5.004E-04  2.930E+02  6.726E+02
   0.12407  12    0.32509  53   1.013E+05 -5.119E-10  4.498E-04  2.930E+02  6.395E+02
   0.12407  12    0.33141  54   1.013E+05 -4.751E-10  4.135E-04  2.930E+02  6.083E+02
   0.12407  12    0.33772  55   1.013E+05 -4.546E-10  3.794E-04  2.930E+02  5.789E+02
   0.12407  12    0.34403  56   1.013E+05 -4.370E-10  3.359E-04  2.930E+02  5.514E+02
   0.12407  12    0.35034  57   1.013E+05 -3.975E-10  2.865E-04  2.930E+02  5.259E+02
   0.12407  12    0.35666  58   1.013E+05 -3.422E-10  2.552E-04  2.930E+02  5.023E+02
   0.12407  12    0.36297  59   1.013E+05 -3.074E-10  2.420E-04  2.930E+02  4.809E+02
   0.12407  12    0.36928  60   1.013E+05 -2.981E-10  2.215E-04  2.930E+02  4.612E+02
   0.12407  12    0.37559  61   1.013E+05 -2.871E-10  1.895E-04  2.930E+02  4.434E+02
   0.12407  12    0.38191  62   1.013E+05 -2.586E-10  1.570E-04  2.930E+02  4.272E+02
   0.12407  12    0.38822  63   1.013E+05 -2.159E-10  1.331E-04  2.930E+02  4.126E+02
   0.12407  12    0.39453  64   1.013E+05 -1.790E-10  1.240E-04  2.930E+02  3.995E+02
   0.12407  12    0.40084  65   1.013E+05 -1.623E-10  1.179E-04  2.930E+02  3.878E+02
   0.12407  12    0.40716  66   1.013E+05 -1.529E-10  1.026E-04  2.930E+02  3.773E+02
   0.12407  12    0.41347  67   1.013E+05 -1.342E-10  8.445E-05  2.930E+02  3.680E+02
   0.12407  12    0.41978  68   1.013E+05 -1.073E-10  7.445E-05  2.930E+02  3.597E+02
   0.12407  12    0.42609  69   1.013E+05 -9.171E-11  7.280E-05  2.930E+02  3.524E+02
   0.12407  12    0.43241  70   1.013E+05 -8.440E-11  6.535E-05  2.930E+02  3.460E+02
   0.12407  12    0.43872  71   1.013E+05 -7.723E-11  6.024E-05  2.930E+02  3.404E+02
   0.12407  12    0.44503  72   1.013E+05 -8.122E-11  5.849E-05  2.930E+02  3.355E+02
   0.12407  12    0.45134  73   1.013E+05 -8.333E-11  4.483E-05  2.930E+02  3.312E+02
   0.12407  12    0.45766  74   1.013E+05 -7.197E-11  3.353E-05  2.930E+02  3.276E+02
   0.12407  12    0.46397  75   1.013E+05 -5.508E-11  2.854E-05  2.930E+02  3.245E+02
   0.12407  12    0.47028  76   1.013E+05 -4.078E-11  2.857E-05  2.930E+02  3.220E+02
   0.12407  12    0.47659  77   1.013E+05 -4.107E-11  3.692E-05  2.930E+02  3.199E+02
   0.12407  12    0.48291  78   1.013E+05 -5.707E-11  3.455E-05  2.930E+02  3.183E+02
   0.12407  12    0.48922  79   1.013E+05 -5.562E-11  1.897E-05  2.930E+02  3.171E+02
   0.12407  12    0.49553  80   1.013E+05 -5.218E-11  2.380E-05  2.930E+02  3.163E+02
   0.12407  12    0.50184  81   1.013E+05 -5.410E-11  6.401E-11  2.930E+02  3.159E+02
   0.12407  12    0.50500  82   1.013E+05  0.000E+00  6.401E-11  2.930E+02  3.159E+02
